Index,Function,Standard,Recon
3,getPerimeterSurfaceRatioFeatureValue,0.015997474167330418,0.013951198453880487
3,getPixelSurfaceFeatureValue,134232.0,208801.0
3,getSphericalDisproportionFeatureValue,1.653390069645266,1.798353032551226
3,getSphericityFeatureValue,0.6048179545523396,0.5560643443747828
4,getElongationFeatureValue,0.8670927307140909,0.8697400457297909
4,getMajorAxisLengthFeatureValue,444.50447327923393,559.8771496572672
4,getMaximumDiameterFeatureValue,465.7563740841342,584.6888061182632
4,getMeshSurfaceFeatureValue,122578.5,206273.0
4,getMinorAxisLengthFeatureValue,385.42659755031957,486.94757774597656
4,getPerimeterFeatureValue,3351.6004307250346,2727.1109652686373
4,getPerimeterSurfaceRatioFeatureValue,0.02734248200724462,0.01322088186659736
4,getPixelSurfaceFeatureValue,122571.0,206272.0
4,getSphericalDisproportionFeatureValue,2.7004749575363984,1.69385677339511
4,getSphericityFeatureValue,0.3703052299038109,0.5903686874278239
5,getElongationFeatureValue,0.8948797560772199,0.8921838864217213
5,getMajorAxisLengthFeatureValue,441.6407366593197,555.3332524512941
5,getMaximumDiameterFeatureValue,479.02505153697336,623.7707912366529
5,getMeshSurfaceFeatureValue,130826.5,206779.0
5,getMinorAxisLengthFeatureValue,395.21535469545574,495.4593794312105
5,getPerimeterFeatureValue,2345.8145007123126,3030.3313113792015
5,getPerimeterSurfaceRatioFeatureValue,0.017930728871538355,0.014654927779799697
5,getPixelSurfaceFeatureValue,130824.0,206777.0
5,getSphericalDisproportionFeatureValue,1.8295356357756924,1.8798879578827519
5,getSphericityFeatureValue,0.5465867843432395,0.5319465959696146
6,getElongationFeatureValue,0.8956757996095144,0.8966833888071952
6,getMajorAxisLengthFeatureValue,440.068082850862,550.5440005083321
6,getMaximumDiameterFeatureValue,478.0292878056741,623.1155591060136
6,getMeshSurfaceFeatureValue,129772.0,206272.5
6,getMinorAxisLengthFeatureValue,394.1583319900719,493.66366006328144
6,getPerimeterFeatureValue,2436.566809391319,2852.7922061357895
6,getPerimeterSurfaceRatioFeatureValue,0.01877575139006349,0.013830211037030091
6,getPixelSurfaceFeatureValue,129770.0,206271.0
6,getSphericalDisproportionFeatureValue,1.9080198697859936,1.7719217588095073
6,getSphericityFeatureValue,0.5241035566952253,0.5643590045826093
7,getElongationFeatureValue,0.9054026061144796,0.8985348686904867
7,getMajorAxisLengthFeatureValue,436.4785199576756,538.9656936565895
7,getMaximumDiameterFeatureValue,469.00426437293726,621.0515276528994
7,getMeshSurfaceFeatureValue,130003.0,193025.5
7,getMinorAxisLengthFeatureValue,395.1887894826704,484.2794687784007
7,getPerimeterFeatureValue,2201.9911242214507,4236.22488913023
7,getPerimeterSurfaceRatioFeatureValue,0.016938002386263785,0.021946452096382237
7,getPixelSurfaceFeatureValue,130002.0,193020.0
7,getSphericalDisproportionFeatureValue,1.7227963575986285,2.7199863993207076
7,getSphericityFeatureValue,0.5804516567436212,0.3676488971598318
8,getElongationFeatureValue,0.8923489715659353,0.8671856189530961
8,getMajorAxisLengthFeatureValue,433.0971805838167,543.4801287704768
8,getMaximumDiameterFeatureValue,455.2812317677943,564.5467208300832
8,getMeshSurfaceFeatureValue,126547.5,192879.0
8,getMinorAxisLengthFeatureValue,386.47382368207496,471.2981518565342
8,getPerimeterFeatureValue,2226.760676843156,3534.664355861968
8,getPerimeterSurfaceRatioFeatureValue,0.0175962439150766,0.018325812327220525
8,getPixelSurfaceFeatureValue,126546.0,192875.0
8,getSphericalDisproportionFeatureValue,1.7658012762680573,2.2703916221082934
8,getSphericityFeatureValue,0.5663151417091824,0.44045264713908544
9,getElongationFeatureValue,0.8970668844040665,0.9010776912915051
9,getMajorAxisLengthFeatureValue,429.5433855747639,537.6283823693553
9,getMaximumDiameterFeatureValue,442.06899913927464,559.0295162153784
9,getMeshSurfaceFeatureValue,123557.0,199187.0
9,getMinorAxisLengthFeatureValue,385.329146613928,484.4449415581652
9,getPerimeterFeatureValue,2384.123158577433,2401.0449480906304
9,getPerimeterSurfaceRatioFeatureValue,0.019295735236185996,0.012054225165751933
9,getPixelSurfaceFeatureValue,123554.0,199186.0
9,getSphericalDisproportionFeatureValue,1.9133308625752488,1.517626365515281
9,getSphericityFeatureValue,0.5226487585393618,0.6589237131897541
